session_id,timestamp,hypothesis,workload,config_g,config_c,iteration,run_type,cycles,cache_misses,branch_misses,page_faults,context_switches
20260714_163230,2026-07-14T16:35:04.528931,H1,lat_mem_rd,on,100000,19,baseline,300000,3000,4000,23,10
20260714_163230,2026-07-14T16:35:09.033642,H1,lat_mem_rd,on,100000,19,profiled,200000,2000,3000,24,10
20260714_163230,2026-07-14T16:35:12.626465,H1,lat_mem_rd,on,100000,20,baseline,0,1000,2000,12,5
20260714_163230,2026-07-14T16:35:17.121328,H1,lat_mem_rd,on,100000,20,profiled,0,2000,2000,12,6
20260714_163230,2026-07-14T16:35:20.702137,H1,lat_mem_rd,on,100000,21,baseline,500000,5000,4000,24,10
20260714_163230,2026-07-14T16:35:25.201123,H1,lat_mem_rd,on,100000,21,profiled,100000,5000,3000,24,10
20260714_163230,2026-07-14T16:35:28.782119,H1,lat_mem_rd,on,100000,22,baseline,0,2000,1000,12,6
20260714_163230,2026-07-14T16:35:33.292379,H1,lat_mem_rd,on,100000,22,profiled,300000,4000,5000,23,9
20260714_163230,2026-07-14T16:35:36.879432,H1,lat_mem_rd,on,100000,23,baseline,300000,2000,4000,22,10
20260714_163230,2026-07-14T16:35:41.374252,H1,lat_mem_rd,on,100000,23,profiled,300000,3000,6000,22,10
20260714_163230,2026-07-14T16:35:44.955470,H1,lat_mem_rd,on,100000,24,baseline,100000,4000,1000,11,5
20260714_163230,2026-07-14T16:35:49.448904,H1,lat_mem_rd,on,100000,24,profiled,300000,2000,1000,11,6
20260714_163230,2026-07-14T16:35:53.030003,H1,lat_mem_rd,on,100000,25,baseline,400000,4000,4000,24,10
20260714_163230,2026-07-14T16:35:57.520229,H1,lat_mem_rd,on,100000,25,profiled,600000,4000,2000,24,9
20260714_163230,2026-07-14T16:36:01.111041,H1,lat_mem_rd,on,100000,26,baseline,0,4000,2000,12,6
20260714_163230,2026-07-14T16:36:05.602906,H1,lat_mem_rd,on,100000,26,profiled,300000,6000,4000,24,10
20260714_163230,2026-07-14T16:36:09.182426,H1,lat_mem_rd,on,100000,27,baseline,100000,5000,2000,24,10
20260714_163230,2026-07-14T16:36:13.682709,H1,lat_mem_rd,on,100000,27,profiled,0,3000,1000,12,6
20260714_163230,2026-07-14T16:36:17.262456,H1,lat_mem_rd,on,100000,28,baseline,600000,1000,3000,23,9
20260714_163230,2026-07-14T16:36:21.764243,H1,lat_mem_rd,on,100000,28,profiled,0,2000,2000,11,5
20260714_163230,2026-07-14T16:36:25.344423,H1,lat_mem_rd,on,100000,29,baseline,300000,1000,2000,22,10
20260714_163230,2026-07-14T16:36:29.840402,H1,lat_mem_rd,on,100000,29,profiled,0,5000,5000,22,10
20260714_163230,2026-07-14T16:36:33.422703,H1,lat_mem_rd,on,100000,30,baseline,300000,1000,1000,11,6
20260714_163230,2026-07-14T16:36:37.911096,H1,lat_mem_rd,on,100000,30,profiled,500000,3000,4000,24,10
20260714_163230,2026-07-14T16:36:41.490865,H1,lat_mem_rd,on,100000,31,baseline,200000,1000,4000,24,9
20260714_163230,2026-07-14T16:36:45.981549,H1,lat_mem_rd,on,100000,31,profiled,400000,3000,2000,12,5
20260714_163230,2026-07-14T16:36:49.569132,H1,lat_mem_rd,on,100000,32,baseline,100000,3000,1000,12,6
20260714_163230,2026-07-14T16:36:54.072962,H1,lat_mem_rd,on,100000,32,profiled,0,4000,2000,12,6
20260714_163230,2026-07-14T16:36:57.659288,H1,lat_mem_rd,on,100000,33,baseline,500000,3000,2000,12,6
20260714_163230,2026-07-14T16:37:02.157059,H1,lat_mem_rd,on,100000,33,profiled,400000,4000,4000,23,10
20260714_163230,2026-07-14T16:37:05.733947,H1,lat_mem_rd,on,100000,34,baseline,500000,4000,4000,11,6
20260714_163230,2026-07-14T16:37:10.227761,H1,lat_mem_rd,on,100000,34,profiled,100000,2000,4000,22,10
20260714_163230,2026-07-14T16:37:13.809701,H1,lat_mem_rd,on,100000,35,baseline,0,2000,3000,22,9
20260714_163230,2026-07-14T16:37:18.306239,H1,lat_mem_rd,on,100000,35,profiled,500000,1000,3000,11,5
20260714_163230,2026-07-14T16:37:21.885959,H1,lat_mem_rd,on,100000,36,baseline,300000,1000,3000,24,10
20260714_163230,2026-07-14T16:37:26.378887,H1,lat_mem_rd,on,100000,36,profiled,500000,2000,3000,24,10
20260714_163230,2026-07-14T16:37:29.960257,H1,lat_mem_rd,on,100000,37,baseline,0,0,1000,12,5
20260714_163230,2026-07-14T16:37:34.451892,H1,lat_mem_rd,on,100000,37,profiled,400000,1000,1000,12,6
20260714_163230,2026-07-14T16:37:38.033532,H1,lat_mem_rd,on,100000,38,baseline,100000,2000,1000,12,6
20260714_163230,2026-07-14T16:37:42.529146,H1,lat_mem_rd,on,100000,38,profiled,0,2000,3000,12,5
20260714_163230,2026-07-14T16:37:46.106465,H1,lat_mem_rd,on,100000,39,baseline,300000,1000,3000,23,10
20260714_163230,2026-07-14T16:37:50.605749,H1,lat_mem_rd,on,100000,39,profiled,100000,2000,3000,22,9
20260714_163230,2026-07-14T16:37:54.191855,H1,lat_mem_rd,on,100000,40,baseline,200000,4000,4000,22,10
20260714_163230,2026-07-14T16:37:58.684487,H1,lat_mem_rd,on,100000,40,profiled,200000,2000,6000,22,10
20260714_163230,2026-07-14T16:38:02.268372,H1,lat_mem_rd,on,100000,41,baseline,100000,0,1000,11,5
20260714_163230,2026-07-14T16:38:06.767076,H1,lat_mem_rd,on,100000,41,profiled,0,3000,3000,12,6
20260714_163230,2026-07-14T16:38:10.348587,H1,lat_mem_rd,on,100000,42,baseline,0,3000,3000,24,10
20260714_163230,2026-07-14T16:38:14.843696,H1,lat_mem_rd,on,100000,42,profiled,200000,1000,4000,24,9
20260714_163230,2026-07-14T16:38:18.421528,H1,lat_mem_rd,on,100000,43,baseline,400000,2000,1000,12,6
20260714_163230,2026-07-14T16:38:22.924942,H1,lat_mem_rd,on,100000,43,profiled,0,3000,2000,12,6
20260714_163230,2026-07-14T16:38:26.495154,H1,lat_mem_rd,on,100000,44,baseline,100000,4000,2000,12,6
20260714_163230,2026-07-14T16:38:30.984786,H1,lat_mem_rd,on,100000,44,profiled,300000,3000,2000,23,10
20260714_163230,2026-07-14T16:38:34.564478,H1,lat_mem_rd,on,100000,45,baseline,400000,2000,2000,11,5
20260714_163230,2026-07-14T16:38:39.055836,H1,lat_mem_rd,on,100000,45,profiled,0,3000,1000,11,6
20260714_163230,2026-07-14T16:38:42.637237,H1,lat_mem_rd,on,100000,46,baseline,400000,4000,2000,22,10
20260714_163230,2026-07-14T16:38:47.124782,H1,lat_mem_rd,on,100000,46,profiled,300000,2000,1000,11,5
20260714_163230,2026-07-14T16:38:50.702100,H1,lat_mem_rd,on,100000,47,baseline,200000,4000,4000,24,10
20260714_163230,2026-07-14T16:38:55.198719,H1,lat_mem_rd,on,100000,47,profiled,300000,4000,3000,24,10
20260714_163230,2026-07-14T16:38:58.776883,H1,lat_mem_rd,on,100000,48,baseline,600000,2000,2000,12,5
20260714_163230,2026-07-14T16:39:03.283953,H1,lat_mem_rd,on,100000,48,profiled,0,3000,4000,12,6
20260714_163230,2026-07-14T16:39:06.875188,H1,lat_mem_rd,on,100000,49,baseline,400000,8000,4000,24,10
20260714_163230,2026-07-14T16:39:11.368139,H1,lat_mem_rd,on,100000,49,profiled,0,3000,4000,12,5
20260714_163230,2026-07-14T16:39:14.951363,H1,lat_mem_rd,on,100000,50,baseline,800000,4000,4000,23,9
20260714_163230,2026-07-14T16:39:19.447553,H1,lat_mem_rd,on,100000,50,profiled,400000,2000,1000,11,5
20260714_163230,2026-07-14T16:39:23.035202,H2,lat_mem_rd,on,0,1,baseline,200000,2000,4000,22,10
20260714_163230,2026-07-14T16:39:27.534512,H2,lat_mem_rd,on,1000,1,profiled,300000,3000,5000,22,10
20260714_163230,2026-07-14T16:39:33.023304,H2,lat_mem_rd,on,500000,1,profiled,400000,4000,2000,12,6
20260714_163230,2026-07-14T16:39:38.517397,H2,lat_mem_rd,on,50000,1,profiled,300000,5000,3000,24,10
20260714_163230,2026-07-14T16:39:44.013826,H2,lat_mem_rd,on,10000,1,profiled,0,2000,1000,12,6
20260714_163230,2026-07-14T16:39:49.519337,H2,lat_mem_rd,on,100000,1,profiled,300000,7000,4000,24,10
20260714_163230,2026-07-14T16:39:55.025274,H2,lat_mem_rd,on,1000000,1,profiled,500000,9000,4000,24,9
20260714_163230,2026-07-14T16:39:58.607931,H2,lat_mem_rd,on,0,2,baseline,500000,4000,1000,12,6
20260714_163230,2026-07-14T16:40:03.094884,H2,lat_mem_rd,on,100000,2,profiled,700000,2000,4000,22,10
20260714_163230,2026-07-14T16:40:08.591515,H2,lat_mem_rd,on,10000,2,profiled,400000,2000,3000,22,9
20260714_163230,2026-07-14T16:40:14.090314,H2,lat_mem_rd,on,1000000,2,profiled,300000,4000,4000,22,10
20260714_163230,2026-07-14T16:40:19.587964,H2,lat_mem_rd,on,50000,2,profiled,0,3000,1000,12,5
20260714_163230,2026-07-14T16:40:25.086185,H2,lat_mem_rd,on,1000,2,profiled,0,1000,2000,24,10
20260714_163230,2026-07-14T16:40:30.592875,H2,lat_mem_rd,on,500000,2,profiled,700000,3000,1000,12,5
20260714_163230,2026-07-14T16:40:34.185920,H2,lat_mem_rd,on,0,3,baseline,0,4000,3000,12,6
20260714_163230,2026-07-14T16:40:38.686714,H2,lat_mem_rd,on,10000,3,profiled,0,2000,2000,12,6
20260714_163230,2026-07-14T16:40:44.183764,H2,lat_mem_rd,on,500000,3,profiled,200000,1000,3000,23,10
20260714_163230,2026-07-14T16:40:49.675638,H2,lat_mem_rd,on,1000000,3,profiled,300000,2000,2000,11,6
20260714_163230,2026-07-14T16:40:55.172835,H2,lat_mem_rd,on,50000,3,profiled,300000,2000,2000,22,9
20260714_163230,2026-07-14T16:41:00.661394,H2,lat_mem_rd,on,100000,3,profiled,200000,1000,2000,11,6
20260714_163230,2026-07-14T16:41:06.157304,H2,lat_mem_rd,on,1000,3,profiled,200000,2000,3000,24,9
20260714_163230,2026-07-14T16:41:09.746613,H2,lat_mem_rd,on,0,4,baseline,100000,2000,1000,12,6
20260714_163230,2026-07-14T16:41:14.246277,H2,lat_mem_rd,on,1000000,4,profiled,400000,5000,3000,24,10
20260714_163230,2026-07-14T16:41:19.746478,H2,lat_mem_rd,on,500000,4,profiled,300000,6000,2000,24,9
20260714_163230,2026-07-14T16:41:25.248032,H2,lat_mem_rd,on,1000,4,profiled,300000,6000,4000,22,8
20260714_163230,2026-07-14T16:41:30.747603,H2,lat_mem_rd,on,100000,4,profiled,0,3000,1000,11,6
20260714_163230,2026-07-14T16:41:36.249507,H2,lat_mem_rd,on,50000,4,profiled,100000,2000,5000,22,9
20260714_163230,2026-07-14T16:41:41.747009,H2,lat_mem_rd,on,10000,4,profiled,200000,0,4000,11,6
20260714_163230,2026-07-14T16:41:45.325191,H2,lat_mem_rd,on,0,5,baseline,600000,1000,2000,23,10
20260714_163230,2026-07-14T16:41:49.827823,H2,lat_mem_rd,on,1000000,5,profiled,200000,1000,3000,24,9
20260714_163230,2026-07-14T16:41:55.317284,H2,lat_mem_rd,on,1000,5,profiled,100000,1000,4000,24,10
20260714_163230,2026-07-14T16:42:00.816385,H2,lat_mem_rd,on,50000,5,profiled,0,2000,3000,24,9
20260714_163230,2026-07-14T16:42:06.324247,H2,lat_mem_rd,on,500000,5,profiled,0,5000,2000,12,5
20260714_163230,2026-07-14T16:42:11.815767,H2,lat_mem_rd,on,10000,5,profiled,400000,1000,2000,10,3
20260714_163230,2026-07-14T16:42:17.308542,H2,lat_mem_rd,on,100000,5,profiled,0,0,3000,11,5
20260714_163230,2026-07-14T16:42:20.892806,H2,lat_mem_rd,on,0,6,baseline,300000,0,4000,22,10
20260714_163230,2026-07-14T16:42:25.387425,H2,lat_mem_rd,on,100000,6,profiled,700000,2000,3000,22,10
20260714_163230,2026-07-14T16:42:30.882999,H2,lat_mem_rd,on,50000,6,profiled,100000,0,1000,12,6
20260714_163230,2026-07-14T16:42:36.379002,H2,lat_mem_rd,on,500000,6,profiled,200000,2000,3000,24,10
20260714_163230,2026-07-14T16:42:41.872104,H2,lat_mem_rd,on,1000000,6,profiled,100000,1000,1000,12,6
20260714_163230,2026-07-14T16:42:47.371238,H2,lat_mem_rd,on,10000,6,profiled,300000,7000,4000,24,10
20260714_163230,2026-07-14T16:42:52.869906,H2,lat_mem_rd,on,1000,6,profiled,200000,2000,2000,12,6
20260714_163230,2026-07-14T16:42:56.446582,H2,lat_mem_rd,on,0,7,baseline,48600000,3000,9000,19,7
20260714_163230,2026-07-14T16:43:00.936970,H2,lat_mem_rd,on,500000,7,profiled,0,1000,1000,11,5
20260714_163230,2026-07-14T16:43:06.437762,H2,lat_mem_rd,on,100000,7,profiled,0,1000,2000,22,10
20260714_163230,2026-07-14T16:43:11.933653,H2,lat_mem_rd,on,10000,7,profiled,200000,1000,4000,11,6
20260714_163230,2026-07-14T16:43:17.438677,H2,lat_mem_rd,on,50000,7,profiled,600000,3000,2000,24,10
20260714_163230,2026-07-14T16:43:22.930165,H2,lat_mem_rd,on,1000000,7,profiled,0,0,3000,12,6
20260714_163230,2026-07-14T16:43:28.428283,H2,lat_mem_rd,on,1000,7,profiled,700000,1000,4000,24,10
20260714_163230,2026-07-14T16:43:32.009344,H2,lat_mem_rd,on,0,8,baseline,100000,3000,2000,12,5
20260714_163230,2026-07-14T16:43:36.507719,H2,lat_mem_rd,on,1000000,8,profiled,0,3000,1000,12,5
20260714_163230,2026-07-14T16:43:42.005219,H2,lat_mem_rd,on,1000,8,profiled,800000,1000,5000,23,10
20260714_163230,2026-07-14T16:43:47.498567,H2,lat_mem_rd,on,50000,8,profiled,0,4000,2000,11,5
20260714_163230,2026-07-14T16:43:52.982400,H2,lat_mem_rd,on,100000,8,profiled,100000,3000,4000,22,10
20260714_163230,2026-07-14T16:43:58.476941,H2,lat_mem_rd,on,10000,8,profiled,0,2000,1000,11,5
20260714_163230,2026-07-14T16:44:03.973094,H2,lat_mem_rd,on,500000,8,profiled,0,4000,3000,24,10
20260714_163230,2026-07-14T16:44:07.550533,H2,lat_mem_rd,on,0,9,baseline,300000,2000,2000,12,5
20260714_163230,2026-07-14T16:44:12.050665,H2,lat_mem_rd,on,500000,9,profiled,100000,4000,1000,12,6
20260714_163230,2026-07-14T16:44:17.560816,H2,lat_mem_rd,on,10000,9,profiled,100000,9000,3000,24,10
20260714_163230,2026-07-14T16:44:23.054981,H2,lat_mem_rd,on,1000000,9,profiled,0,4000,4000,12,5
20260714_163230,2026-07-14T16:44:28.548373,H2,lat_mem_rd,on,50000,9,profiled,0,3000,2000,22,10
20260714_163230,2026-07-14T16:44:34.042253,H2,lat_mem_rd,on,100000,9,profiled,300000,2000,2000,22,9
20260714_163230,2026-07-14T16:44:39.547828,H2,lat_mem_rd,on,1000,9,profiled,400000,4000,3000,22,10
20260714_163230,2026-07-14T16:44:43.137246,H2,lat_mem_rd,on,0,10,baseline,400000,1000,3000,23,9
20260714_163230,2026-07-14T16:44:47.626178,H2,lat_mem_rd,on,500000,10,profiled,0,2000,1000,12,5
20260714_163230,2026-07-14T16:44:53.116489,H2,lat_mem_rd,on,100000,10,profiled,400000,3000,5000,24,10
20260714_163230,2026-07-14T16:44:58.617193,H2,lat_mem_rd,on,10000,10,profiled,100000,3000,2000,12,5
20260714_163230,2026-07-14T16:45:04.123172,H2,lat_mem_rd,on,1000000,10,profiled,400000,2000,2000,12,6
20260714_163230,2026-07-14T16:45:09.623902,H2,lat_mem_rd,on,1000,10,profiled,0,0,0,0,0
20260714_163230,2026-07-14T16:45:15.126722,H2,lat_mem_rd,on,50000,10,profiled,100000,4000,2000,11,6
20260714_163230,2026-07-14T16:45:18.708953,H2,lat_mem_rd,on,0,11,baseline,400000,4000,2000,22,10
20260714_163230,2026-07-14T16:45:23.208873,H2,lat_mem_rd,on,50000,11,profiled,300000,3000,4000,22,9
20260714_163230,2026-07-14T16:45:28.696532,H2,lat_mem_rd,on,100000,11,profiled,0,5000,4000,24,10
20260714_163230,2026-07-14T16:45:34.187875,H2,lat_mem_rd,on,500000,11,profiled,0,2000,4000,24,9
20260714_163230,2026-07-14T16:45:39.688070,H2,lat_mem_rd,on,1000000,11,profiled,200000,1000,3000,24,10
20260714_163230,2026-07-14T16:45:45.186182,H2,lat_mem_rd,on,1000,11,profiled,0,5000,4000,24,9
20260714_163230,2026-07-14T16:45:50.680775,H2,lat_mem_rd,on,10000,11,profiled,0,6000,5000,24,9
20260714_163230,2026-07-14T16:45:54.261978,H2,lat_mem_rd,on,0,12,baseline,0,1000,1000,12,6
20260714_163230,2026-07-14T16:45:58.764170,H2,lat_mem_rd,on,500000,12,profiled,0,0,4000,22,10
20260714_163230,2026-07-14T16:46:04.258866,H2,lat_mem_rd,on,10000,12,profiled,400000,1000,3000,11,5
20260714_163230,2026-07-14T16:46:09.752457,H2,lat_mem_rd,on,50000,12,profiled,300000,1000,4000,22,10
20260714_163230,2026-07-14T16:46:15.248071,H2,lat_mem_rd,on,100000,12,profiled,0,0,2000,12,5
20260714_163230,2026-07-14T16:46:20.752880,H2,lat_mem_rd,on,1000000,12,profiled,100000,1000,5000,24,10
20260714_163230,2026-07-14T16:46:26.254761,H2,lat_mem_rd,on,1000,12,profiled,200000,4000,2000,12,5
20260714_163230,2026-07-14T16:46:29.838240,H2,lat_mem_rd,on,0,13,baseline,300000,4000,3000,12,6
20260714_163230,2026-07-14T16:46:34.343700,H2,lat_mem_rd,on,50000,13,profiled,400000,4000,2000,12,5
20260714_163230,2026-07-14T16:46:39.841028,H2,lat_mem_rd,on,1000000,13,profiled,0,2000,3000,23,10
20260714_163230,2026-07-14T16:46:45.332594,H2,lat_mem_rd,on,10000,13,profiled,200000,3000,4000,11,6
20260714_163230,2026-07-14T16:46:50.828353,H2,lat_mem_rd,on,100000,13,profiled,200000,4000,5000,22,10
20260714_163230,2026-07-14T16:46:56.316246,H2,lat_mem_rd,on,500000,13,profiled,0,4000,1000,11,6
20260714_163230,2026-07-14T16:47:01.812218,H2,lat_mem_rd,on,1000,13,profiled,400000,6000,4000,24,10
20260714_163230,2026-07-14T16:47:05.393068,H2,lat_mem_rd,on,0,14,baseline,300000,3000,5000,12,5
20260714_163230,2026-07-14T16:47:09.895235,H2,lat_mem_rd,on,50000,14,profiled,500000,3000,4000,23,9
20260714_163230,2026-07-14T16:47:15.395054,H2,lat_mem_rd,on,1000,14,profiled,200000,5000,2000,24,9
20260714_163230,2026-07-14T16:47:20.891495,H2,lat_mem_rd,on,500000,14,profiled,400000,4000,3000,22,8
20260714_163230,2026-07-14T16:47:26.387173,H2,lat_mem_rd,on,1000000,14,profiled,300000,3000,3000,22,10
20260714_163230,2026-07-14T16:47:31.888574,H2,lat_mem_rd,on,100000,14,profiled,0,1000,1000,11,5
20260714_163230,2026-07-14T16:47:37.385593,H2,lat_mem_rd,on,10000,14,profiled,200000,3000,3000,22,10
20260714_163230,2026-07-14T16:47:40.973773,H2,lat_mem_rd,on,0,15,baseline,0,3000,2000,12,5
20260714_163230,2026-07-14T16:47:45.463125,H2,lat_mem_rd,on,50000,15,profiled,300000,3000,2000,12,6
20260714_163230,2026-07-14T16:47:50.950775,H2,lat_mem_rd,on,1000000,15,profiled,400000,5000,5000,24,10
20260714_163230,2026-07-14T16:47:56.443723,H2,lat_mem_rd,on,100000,15,profiled,400000,3000,2000,12,5
20260714_163230,2026-07-14T16:48:01.938351,H2,lat_mem_rd,on,10000,15,profiled,0,2000,3000,12,6
20260714_163230,2026-07-14T16:48:07.442305,H2,lat_mem_rd,on,500000,15,profiled,0,0,0,0,0
20260714_163230,2026-07-14T16:48:12.938808,H2,lat_mem_rd,on,1000,15,profiled,600000,6000,3000,22,10
20260714_163230,2026-07-14T16:48:16.516105,H2,lat_mem_rd,on,0,16,baseline,0,1000,2000,11,5
20260714_163230,2026-07-14T16:48:21.011245,H2,lat_mem_rd,on,50000,16,profiled,100000,0,3000,11,6
20260714_163230,2026-07-14T16:48:26.509869,H2,lat_mem_rd,on,1000,16,profiled,500000,1000,3000,23,9
20260714_163230,2026-07-14T16:48:32.006760,H2,lat_mem_rd,on,1000000,16,profiled,0,3000,1000,12,6
20260714_163230,2026-07-14T16:48:37.505263,H2,lat_mem_rd,on,10000,16,profiled,100000,3000,5000,24,10
20260714_163230,2026-07-14T16:48:43.010292,H2,lat_mem_rd,on,500000,16,profiled,0,3000,1000,12,5
20260714_163230,2026-07-14T16:48:48.515138,H2,lat_mem_rd,on,100000,16,profiled,200000,2000,2000,12,5
20260714_163230,2026-07-14T16:48:52.095204,H2,lat_mem_rd,on,0,17,baseline,200000,2000,1000,10,3
20260714_163230,2026-07-14T16:48:56.589719,H2,lat_mem_rd,on,1000,17,profiled,100000,2000,3000,22,9
20260714_163230,2026-07-14T16:49:02.081402,H2,lat_mem_rd,on,1000000,17,profiled,100000,4000,4000,22,10
20260714_163230,2026-07-14T16:49:07.575017,H2,lat_mem_rd,on,500000,17,profiled,500000,4000,3000,22,9
20260714_163230,2026-07-14T16:49:13.068670,H2,lat_mem_rd,on,50000,17,profiled,100000,3000,5000,24,10
20260714_163230,2026-07-14T16:49:18.566354,H2,lat_mem_rd,on,10000,17,profiled,200000,2000,4000,24,9
20260714_163230,2026-07-14T16:49:24.054761,H2,lat_mem_rd,on,100000,17,profiled,200000,4000,5000,24,10
20260714_163230,2026-07-14T16:49:27.639997,H2,lat_mem_rd,on,0,18,baseline,300000,8000,3000,24,9
20260714_163230,2026-07-14T16:49:32.127156,H2,lat_mem_rd,on,500000,18,profiled,400000,7000,5000,24,9
20260714_163230,2026-07-14T16:49:37.622080,H2,lat_mem_rd,on,10000,18,profiled,400000,4000,3000,12,5
20260714_163230,2026-07-14T16:49:43.113647,H2,lat_mem_rd,on,50000,18,profiled,200000,4000,3000,22,10
20260714_163230,2026-07-14T16:49:48.605672,H2,lat_mem_rd,on,100000,18,profiled,0,2000,1000,11,5
20260714_163230,2026-07-14T16:49:54.103808,H2,lat_mem_rd,on,1000,18,profiled,400000,3000,3000,22,10
20260714_163230,2026-07-14T16:49:59.595464,H2,lat_mem_rd,on,1000000,18,profiled,500000,3000,2000,12,5
20260714_163230,2026-07-14T16:50:03.173358,H2,lat_mem_rd,on,0,19,baseline,200000,3000,3000,24,10
20260714_163230,2026-07-14T16:50:07.661880,H2,lat_mem_rd,on,1000000,19,profiled,400000,4000,4000,24,10
20260714_163230,2026-07-14T16:50:13.163562,H2,lat_mem_rd,on,1000,19,profiled,400000,3000,1000,12,5
20260714_163230,2026-07-14T16:50:18.667158,H2,lat_mem_rd,on,100000,19,profiled,100000,4000,1000,12,5
20260714_163230,2026-07-14T16:50:24.165969,H2,lat_mem_rd,on,500000,19,profiled,0,1000,4000,22,10
20260714_163230,2026-07-14T16:50:29.665425,H2,lat_mem_rd,on,10000,19,profiled,100000,2000,3000,11,6
20260714_163230,2026-07-14T16:50:35.161797,H2,lat_mem_rd,on,50000,19,profiled,100000,2000,4000,22,10
20260714_163230,2026-07-14T16:50:38.737228,H2,lat_mem_rd,on,0,20,baseline,0,0,1000,11,6
20260714_163230,2026-07-14T16:50:43.241938,H2,lat_mem_rd,on,50000,20,profiled,400000,2000,3000,24,10
20260714_163230,2026-07-14T16:50:48.735260,H2,lat_mem_rd,on,1000000,20,profiled,300000,0,3000,12,5
